instruction,implemented,tested
XCHG_0I,true,false
PUSH,true,false
LDU,true,false
PUSHINT_LONG,true,false
EQUAL,true,false
THROWIFNOT,true,false
PUSHINT_16,true,false
POP,true,false
PUSHCONT_SHORT,true,false
STU,true,false
PUSHINT_4,true,false
IFJMP,true,false
CTOS,true,false
LDMSGADDR,true,false
NEWC,true,false
XCHG_1I,true,false
ENDC,true,false
CALLREF,true,false
GETGLOB,true,false
POPCTR,true,false
STSLICER,true,false
GETPARAM,true,false
SETGLOB,true,false
XCHG_0I_LONG,true,false
LDREF,true,false
THROWIFNOT_SHORT,true,false
ROTREV,true,false
INC,true,false
THROWIF_SHORT,true,false
HASHSU,true,false
GEQ,true,false
LDSLICEX,true,false
ACCEPT,true,false
CHKSIGNU,true,false
XCHG2,true,false
PLDREFIDX,true,false
SETCP,true,false
IFNOTRET,true,false
LDGRAMS,true,false
PUSHCTR,true,false
STREF,true,false
CALLDICT,true,false
STGRAMS,true,false
XCHG_IJ,true,false
PUSHCONT,true,false
BLKDROP2,true,false
PUSHPOW2,true,false
PUSHINT_8,true,false
STDICT,true,false
EQINT,true,false
BLKDROP,true,false
LDDICT,true,false
ROT,true,false
SBITS,true,false
PUXC,true,false
AND,true,false
PLDU,true,false
IFELSE,true,false
STI,true,false
ADD,true,false
BLKSWAP,true,false
THROWIF,true,false
IFJMPREF,true,false
SUB,true,false
XCHG3,true,false
LDI,true,false
SENDRAWMSG,true,false
SDEQ,true,false
PUSH2,true,false
ENDS,true,false
POP_LONG,true,false
XCPU,true,false
GTINT,true,false
SEMPTY,true,false
TUPLE,true,false
PUSHSLICE_LONG,true,false
SDSKIPFIRST,true,false
NULLSWAPIFNOT,true,false
IF,true,false
HASHCU,true,false
NULL,true,false
PUSHPOW2DEC,true,false
PUXCPU,true,false
NEGATE,true,false
MUL,true,false
THROWANY,true,false
XC2PU,true,false
ISNULL,true,true
OR,true,false
DICTUGET,true,false
REWRITESTDADDR,true,false
GREATER,true,false
DROP2,true,false
XCPUXC,true,false
IFREFELSE,true,false
DIV,true,false
PUSH_LONG,true,false
PUSHSLICE,true,false
LESS,true,false
PUSH3,true,false
