kind,name,category,sub_category,implemented,tested,notes
tvm,PUSHNAN,arithmetic,int_const,true,false,
tvm,ADD,arithmetic,add_mul,true,true,
tvm,SUB,arithmetic,add_mul,true,true,
tvm,SUBR,arithmetic,add_mul,false,true,
tvm,NEGATE,arithmetic,add_mul,true,true,
tvm,INC,arithmetic,add_mul,false,true,
tvm,DEC,arithmetic,add_mul,false,true,
tvm,MUL,arithmetic,add_mul,false,true,
tvm,POW2,arithmetic,shift_logic,false,false,
tvm,AND,arithmetic,shift_logic,false,false,
tvm,OR,arithmetic,shift_logic,false,false,
tvm,XOR,arithmetic,shift_logic,false,false,
tvm,NOT,arithmetic,shift_logic,false,false,
tvm,FITSX,arithmetic,shift_logic,false,false,
tvm,UFITSX,arithmetic,shift_logic,false,false,
tvm,BITSIZE,arithmetic,shift_logic,true,false,
tvm,UBITSIZE,arithmetic,shift_logic,true,false,
tvm,MIN,arithmetic,other_arith,true,true,
tvm,MAX,arithmetic,other_arith,true,true,
tvm,MINMAX,arithmetic,other_arith,false,false,
tvm,ABS,arithmetic,other_arith,true,false,
tvm,QADD,arithmetic,add_mul,true,false,
tvm,QSUB,arithmetic,add_mul,true,false,
tvm,QSUBR,arithmetic,add_mul,true,false,
tvm,QNEGATE,arithmetic,add_mul,true,false,
tvm,QINC,arithmetic,add_mul,true,false,
tvm,QDEC,arithmetic,add_mul,true,false,
tvm,QMUL,arithmetic,add_mul,true,false,
tvm,QPOW2,arithmetic,shift_logic,true,false,
tvm,QAND,arithmetic,shift_logic,false,false,
tvm,QOR,arithmetic,shift_logic,false,false,
tvm,QXOR,arithmetic,shift_logic,false,false,
tvm,QNOT,arithmetic,shift_logic,false,false,
tvm,QFITSX,arithmetic,shift_logic,false,false,
tvm,QUFITSX,arithmetic,shift_logic,false,false,
tvm,QBITSIZE,arithmetic,shift_logic,false,false,
tvm,QUBITSIZE,arithmetic,shift_logic,false,false,
tvm,QMIN,arithmetic,other_arith,false,false,
tvm,QMAX,arithmetic,other_arith,true,false,
tvm,QMINMAX,arithmetic,other_arith,true,false,
tvm,QABS,arithmetic,other_arith,true,false,
tvm,SGN,arithmetic,int_cmp,true,false,
tvm,LESS,arithmetic,int_cmp,false,false,
tvm,EQUAL,arithmetic,int_cmp,true,false,
tvm,LEQ,arithmetic,int_cmp,true,false,
tvm,GREATER,arithmetic,int_cmp,true,false,
tvm,NEQ,arithmetic,int_cmp,true,false,
tvm,GEQ,arithmetic,int_cmp,false,false,
tvm,CMP,arithmetic,int_cmp,true,false,
