kind,name,category,sub_category,prefix_str,layout_kind,checkLen,skipLen,version,ton_commit_hash,ton_file_path,ton_line_number,ton_function_name
tvm,PUSHNAN,arithmetic,int_const,83FF,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,120,exec_push_nan
tvm,ADD,arithmetic,add_mul,A0,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,162,exec_add
tvm,SUB,arithmetic,add_mul,A1,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,171,exec_sub
tvm,SUBR,arithmetic,add_mul,A2,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,180,exec_subr
tvm,NEGATE,arithmetic,add_mul,A3,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,189,exec_negate
tvm,INC,arithmetic,add_mul,A4,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,197,exec_inc
tvm,DEC,arithmetic,add_mul,A5,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,205,exec_dec
tvm,MUL,arithmetic,add_mul,A8,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,231,exec_mul
tvm,POW2,arithmetic,shift_logic,AE,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,758,exec_pow2
tvm,AND,arithmetic,shift_logic,B0,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,769,exec_and
tvm,OR,arithmetic,shift_logic,B1,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,778,exec_or
tvm,XOR,arithmetic,shift_logic,B2,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,787,exec_xor
tvm,NOT,arithmetic,shift_logic,B3,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,796,exec_not
tvm,FITSX,arithmetic,shift_logic,B600,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,830,exec_fits
tvm,UFITSX,arithmetic,shift_logic,B601,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,843,exec_ufits
tvm,BITSIZE,arithmetic,shift_logic,B602,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,856,exec_bitsize
tvm,UBITSIZE,arithmetic,shift_logic,B603,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,856,exec_bitsize
tvm,MIN,arithmetic,other_arith,B608,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,MAX,arithmetic,other_arith,B609,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,MINMAX,arithmetic,other_arith,B60A,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,ABS,arithmetic,other_arith,B60B,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,936,exec_abs
tvm,QADD,arithmetic,add_mul,B7A0,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,162,exec_add
tvm,QSUB,arithmetic,add_mul,B7A1,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,171,exec_sub
tvm,QSUBR,arithmetic,add_mul,B7A2,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,180,exec_subr
tvm,QNEGATE,arithmetic,add_mul,B7A3,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,189,exec_negate
tvm,QINC,arithmetic,add_mul,B7A4,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,197,exec_inc
tvm,QDEC,arithmetic,add_mul,B7A5,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,205,exec_dec
tvm,QMUL,arithmetic,add_mul,B7A8,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,231,exec_mul
tvm,QPOW2,arithmetic,shift_logic,B7AE,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,758,exec_pow2
tvm,QAND,arithmetic,shift_logic,B7B0,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,769,exec_and
tvm,QOR,arithmetic,shift_logic,B7B1,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,778,exec_or
tvm,QXOR,arithmetic,shift_logic,B7B2,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,787,exec_xor
tvm,QNOT,arithmetic,shift_logic,B7B3,simple,16,16,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,796,exec_not
tvm,QFITSX,arithmetic,shift_logic,B7B600,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,830,exec_fits
tvm,QUFITSX,arithmetic,shift_logic,B7B601,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,843,exec_ufits
tvm,QBITSIZE,arithmetic,shift_logic,B7B602,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,856,exec_bitsize
tvm,QUBITSIZE,arithmetic,shift_logic,B7B603,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,856,exec_bitsize
tvm,QMIN,arithmetic,other_arith,B7B608,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QMAX,arithmetic,other_arith,B7B609,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QMINMAX,arithmetic,other_arith,B7B60A,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,914,exec_minmax
tvm,QABS,arithmetic,other_arith,B7B60B,simple,24,24,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,936,exec_abs
tvm,SGN,arithmetic,int_cmp,B8,simple,8,8,,f58297f1b668c7b49e8b30b65062951ca7c18acc,crypto/vm/arithops.cpp,961,exec_sgn
